Site ID,Parent Site ID,Parent Site Name,Site Name,Type,Latitude,Longitude,Legacy,Start_Date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
M001,M001,Kangaroo Point Bikeway,Kangaroo Point Bikeway,Manual,-27.476039,153.034728,yes,2004,1,1,1,1,1,1,1,1,1,1,1,1,1
M002E,M002,Story Bridge,Story Bridge (East),Manual,-27.461897,153.035827,yes,2004,1,1,1,1,1,1,1,1,1,1,1,1,1
M002W,M002,Story Bridge,Story Bridge (West),Manual,-27.461891,153.035577,yes,2004,1,1,1,1,1,1,1,1,1,1,1,1,1
M003,M003,Riverwalk New Farm,Riverwalk New Farm,Manual,-27.47107,153.041141,yes,2004,1,1,1,1,1,1,1,,,,1,1,1
M004,M004,Story Bridge Underpass connecting Bowen Terrace/Ivory Lane,Story Bridge Underpass connecting Bowen Terrace/Ivory Lane,Manual,-27.461705,153.035592,,2011,,,,,,,,1,1,1,,,
M005,M005,Bicentennial Bikeway near William Jolly Bridge,Bicentennial Bikeway near William Jolly Bridge,Manual,-27.467589,153.016503,yes,2004,1,1,1,1,1,1,1,,1,1,1,1,1
M006,M006,Bicentennial Bikeway near Land Street,Bicentennial Bikeway near Land Street,Manual,-27.479643,152.998761,,2011,,,,,,,,1,1,1,,,
M007W,M007,Victoria Bridge,Victoria Bridge (West),Manual,-27.471753,153.022479,yes,2004,1,1,1,1,1,1,1,1,1,1,1,1,1
M007E,M007,Victoria Bridge,Victoria Bridge (East),Manual,-27.471598,153.022332,yes,2004,1,1,1,1,1,1,1,1,1,1,1,1,1
M008,M008,Land Bridge at Inner City Bypass,Land Bridge at Inner City Bypass,Manual,-27.455569,153.024109,yes,2004,1,1,1,1,1,1,1,1,1,1,1,1,1
M009,M009,Kedron Brook Bikeway Nundah,Kedron Brook Bikeway Nundah,Manual,-27.406978,153.073397,yes,2004,1,1,1,1,1,1,1,1,1,1,1,1,1
M010,M010,Enoggera Creek Bikeway Ashgrove,Enoggera Creek Bikeway Ashgrove,Manual,-27.445115,152.975679,,2004,1,1,1,1,1,1,1,1,1,,,,
M011,M011,Sandgate Foreshore,Sandgate Foreshore,Manual,-27.3144,153.069714,yes,2004,1,1,1,1,1,1,1,1,1,1,1,1,1
M012,M012,Wynnum Foreshore,Wynnum Foreshore,Manual,-27.446578,153.187264,yes,2004,1,1,1,1,1,1,1,1,1,1,1,1,1
M013,M013,Bulimba Creek Carindale,Bulimba Creek Carindale,Manual,-27.497931,153.106053,,2004,1,1,1,1,1,1,1,1,1,,,,
M014,M014,Enoggera Creek Bikeway Herston (Downey Street),Enoggera Creek Bikeway Herston (Downey Street),Manual,-27.44384,153.024954,,2004,1,1,1,1,1,1,1,1,1,,,,
M015,M015,Enoggera Creek Bikeway Herston (Granville Street),Enoggera Creek Bikeway Herston (Granville Street),Manual,-27.441872,153.0211,,2013,,,,,,,,,,1,1,1,1
M016E,M016,Jack Pesch Bridge,Jack Pesch Bridge,Manual,-27.50745,152.973597,yes,2004,1,1,1,1,1,1,1,1,1,1,1,1,1
M016W,M016,Jack Pesch Bridge,Walter Taylor Bridge,Manual,-27.504647,152.9739,yes,2004,1,1,1,1,1,1,1,1,1,1,1,1,1
M017,M017,Goodwill Bridge,Goodwill Bridge,Manual,-27.478989,153.028578,,2008,,,,,1,1,1,1,1,1,1,1,1
M018,M018,Kedron Brook near Gympie Road Lutwyche,Kedron Brook near Gympie Road Lutwyche,Manual,-27.415995,153.033779,,2010,,,,,,,1,1,1,1,1,1,1
M019,M019,Kurilpa Bridge,Kurilpa Bridge,Manual,-27.468628,153.019828,,2010,,,,,,,1,1,1,1,1,1,1
M020W,M020,Go Between Bridge,Go Between Bridge Cycle,Manual,-27.471133,153.013317,,2010,,,,,,,1,1,1,1,1,1,1
